,numVotes
2000,931
2001,29
2002,97
2003,125
2004,1336
2005,32
2006,2698
2007,14
2008,69
2009,9549
2010,94
2011,296
2012,123
2013,69
2014,135
2015,775
2016,16
2017,467
2018,281
2019,64
2020,6013
2021,28
2022,1168
2023,463
2024,9567
2025,30
2026,39
2027,2875
2028,17
2029,869
2030,350
2031,9448
2032,24
2033,141
2034,491
2035,101
2036,441
2037,342
2038,46
2039,129
2040,86859
2041,699
2042,60565
2043,25
2044,3292
2045,9
2046,60
2047,152
2048,121
2049,119768
2050,55425
2051,309
2052,536
2053,138
2054,980
2055,12758
2056,110
2057,134
2058,4074
2059,79
2060,172
2061,37934
2062,11
2063,53
2064,367
2065,64664
2066,81
2067,20
2068,104
2069,453
2070,411
2071,6
2072,101
2073,12
2074,15
2075,157
2076,107
2077,14288
2078,695
2079,26842
2080,94
2081,221
2082,1142
2083,74
2084,852
2085,467
2086,44
2087,1762
2088,3170
2089,2255
2090,775
2091,20
2092,20
2093,239
2094,4822
2095,36
2096,54
2097,1854
2098,22
2099,45
2100,35870
2101,377
2102,5087
2103,13389
2104,4457
2105,9
2106,431
2107,12042
2108,12
2109,81
2110,33717
2111,122
2112,13
2113,26
2114,9351
2115,14
2116,74
2117,25366
2118,290
2119,22
2120,976
2121,81
2122,48
2123,18
2124,26
2125,44
2126,5811
2127,32
2128,3080
2129,47
2130,1632
2131,305
2132,20
2133,1232
2134,73
2135,4746
2136,21
2137,9
2138,144
2139,110
2140,64
2141,1311
2142,456
2143,61
2144,1408
2145,43
2146,188
2147,25
2148,34
2149,121
2150,85
2151,20
2152,14
2153,147
2154,196675
2155,4891
2156,30
2157,6126
2158,1614
2159,876
2160,11
2161,109
2162,530
2163,30
2164,2139
2165,51
2166,2707
2167,193
2168,104
2169,200
2170,19216
2171,12
2172,23396
2173,7038
2174,6625
2175,78
2176,37
2177,7577
2178,32
2179,722
2180,308
2181,59
2182,1118
2183,19
2184,58
2185,326
2186,1773
2187,23878
2188,626
2189,16
2190,2310
2191,498
2192,117
2193,5366
2194,38
2195,5843
2196,21
2197,432
2198,14
2199,28
2200,705
2201,33944
2202,263
2203,110
2204,380
2205,7
2206,161
2207,108
2208,106
2209,20
2210,21152
2211,438
2212,247
2213,856
2214,19726
2215,42
2216,18
2217,44
2218,882
2219,23
2220,5746
2221,204699
2222,442
2223,23
2224,10310
2225,60833
2226,496
2227,234
2228,12
2229,3065
2230,3282
2231,119
2232,1622
2233,2629
2234,1971
2235,3070
2236,9650
2237,267
2238,11
2239,15
2240,399
2241,7348
2242,73
2243,745
2244,309
2245,139
2246,457
2247,37
2248,1465
2249,32
2250,5
2251,110
2252,1564
2253,13
2254,1029
2255,3616
2256,5172
2257,716
2258,18
2259,30
2260,1443
2261,3194
2262,662
2263,292
2264,139
2265,486
2266,22
2267,46
2268,54
2269,69
2270,938
2271,34
2272,281
2273,13
2274,243
2275,29
2276,282
2277,5538
2278,90
2279,11061
2280,57
2281,17
2282,48
2283,10
2284,49
2285,1212
2286,47
2287,2047
2288,107
2289,20313
2290,69
2291,599
2292,125
2293,151
2294,44
2295,67
2296,1510053
2297,248
2298,269
2299,2887
2300,28
2301,21
2302,4268
2303,13
2304,23080
2305,12
2306,63520
2307,30
2308,25
2309,26
2310,39
2311,17318
2312,49
2313,34
2314,20
2315,10
2316,3977
2317,363
2318,89
2319,2113
2320,17
2321,16
2322,45
2323,79747
2324,111
2325,1212
2326,708
2327,18
2328,9742
2329,690
2330,294
2331,658
2332,1249
2333,150
2334,2188
2335,113
2336,50
2337,22
2338,10876
2339,14
2340,478
2341,6151
2342,345
2343,998
2344,1718
2345,59
2346,319
2347,10272
2348,54
2349,117
2350,12
2351,12
2352,86
2353,25
2354,17106
2355,6
2356,9154
2357,979
2358,45
2359,7138
2360,10
2361,515
2362,1327
2363,4577
2364,358
2365,26
2366,307
2367,60125
2368,39
2369,66
2370,1150536
2371,48
2372,11
2373,2945
2374,101
2375,167464
2376,2295
2377,34
2378,17
2379,82
2380,92
2381,23
2382,18
2383,30
2384,335
2385,71
2386,30
2387,38
2388,34
2389,516
2390,98
2391,1784
2392,63
2393,6197
2394,14
2395,19
2396,11
2397,7813
2398,1421
2399,24382
2400,28
2401,2418
2402,17
2403,27
2404,139
2405,137
2406,48
2407,330
2408,5560
2409,15
